Player,Pos,Bye,Team,Projected $,Skew,Paid,Inflated $ Value,,,,,,,,,,,,,
Rex Burkhead,RB,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Jeremy Stewart,RB,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Travaris Cadet,RB,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Henry Hynoski,RB,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Evan Rodriguez,RB,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Anthony Allen,RB,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Ryan D'Imperio,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Stanley Havili,RB,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Miguel Maysonet,RB,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Cyrus Gray,RB,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Jerome Felton,RB,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Benny Cunningham,RB,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Matthew Tucker,RB,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Darius Reynaud,RB,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Bruce Miller,RB,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Chris Thompson,RB,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Harvey Unga,RB,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Tristan Davis,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Chris Pressley,RB,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Dorin Dickerson,RB,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Kerwynn Williams,RB,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Shaun Chapas,RB,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Owen Marecic,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Quinn Johnson,RB,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Lawrence Vickers,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jackie Battle,RB,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Tommy Bohanon,RB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Michael Smith,RB,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Antone Smith,RB,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Cierre Wood,RB,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Marcus Thigpen,RB,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Matt Asiata,RB,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Lex Hilliard,RB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
David Johnson,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
John Griffin,RB,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Dan Herron,RB,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Theo Riddick,RB,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Tauren Poole,RB,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Anthony Sherman,RB,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Jalen Parmele,RB,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Jonas Gray,RB,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Bradie Ewing,RB,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Erik Lorig,RB,5,TB,$0,$0,,$0,,,,,,,,,,,,,
James Develin,RB,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Tony Fiammetta,RB,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Mike Cox,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jamie McCoy,RB,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Kyle Juszczyk,RB,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Tyler Clutts,RB,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Will Ta'ufo'ou,RB,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
John Conner,RB,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Stefan Logan,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Chris Gronkowski,RB,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Brit Miller,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Nate Eachus,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Armond Smith,RB,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Corey McIntyre,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Manase Tonga,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Reagan Maui'a,RB,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Brock Bolen,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Thomas Clayton,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Eddie Williams,RB,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Robert Hughes,RB,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Moran Norris,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Josh Vaughan,RB,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Allen Bradford,RB,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Jewel Hampton,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jawan Jamison,RB,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Ronnie Wingo,RB,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
C.J. Anderson,RB,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Mossis Madu,RB,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jonathan Grimes,RB,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Bobby Rainey,RB,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Khiry Robinson,RB,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Marcus Lattimore,RB,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Dominique Whaley,RB,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Steven Miller,RB,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Jeff Demps,RB,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Michael Hill,RB,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Jeremiah Johnson,RB,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Santonio Holmes,WR,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Aaron Dobson,WR,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Santana Moss,WR,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Stephen Hill,WR,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Brandon Gibson,WR,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Nate Washington,WR,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Davone Bess,WR,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Josh Morgan,WR,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Dexter McCluster,WR,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Riley Cooper,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Markus Wheaton,WR,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Keenan Allen,WR,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Jarius Wright,WR,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Kenny Stills,WR,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Leonard Hankerson,WR,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Jason Avant,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Brandon Stokley,WR,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Jacoby Ford,WR,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Terrance Williams,WR,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Earl Bennett,WR,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Harry Douglas,WR,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Julian Edelman,WR,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Laurent Robinson,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Doug Baldwin,WR,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
T.J. Graham,WR,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Damaris Johnson,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Brian Quick,WR,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Austin Pettis,WR,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Eddie Royal,WR,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Marlon Brown,WR,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Jerricho Cotchery,WR,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Domenik Hixon,WR,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Randy Moss,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Justin Hunter,WR,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Marlon Moore,WR,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Kevin Ogletree,WR,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Andrew Hawkins,WR,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Percy Harvin,WR,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Mario Manningham,WR,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Jon Baldwin,WR,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Travis Benjamin,WR,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Michael Crabtree,WR,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Austin Collie,WR,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Ace Sanders,WR,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Dwayne Harris,WR,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Quinton Patton,WR,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Tommy Streeter,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jerome Simpson,WR,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Juron Criner,WR,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Jordan Shipley,WR,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Marvin Jones,WR,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
A.J. Jenkins,WR,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Braylon Edwards,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Michael Jenkins,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Tiquan Underwood,WR,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Marquise Goodwin,WR,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Louis Murphy,WR,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Nick Toon,WR,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Stedman Bailey,WR,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Keshawn Martin,WR,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Tandon Doss,WR,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Damian Williams,WR,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Kevin Walter,WR,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Kyle Williams,WR,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Deion Branch,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Joseph Morgan,WR,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Charles Johnson,WR,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Derek Hagan,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Mike Thomas,WR,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
LaVon Brazill,WR,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Jermaine Kearse,WR,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Courtney Roby,WR,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Plaxico Burress,WR,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Rishard Matthews,WR,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Ramses Barden,WR,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Clyde Gates,WR,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Patrick Edwards,WR,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Brice Butler,WR,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Donald Jones,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
David Nelson,WR,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Josh Boyce,WR,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Chaz Schilens,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Ted Ginn Jr.,WR,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Brad Smith,WR,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Lestar Jean,WR,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Mohamed Massaquoi,WR,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
DeVier Posey,WR,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Devin Aromashodu,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Mike Brown,WR,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Robert Meachem,WR,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Aldrick Robinson,WR,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Cole Beasley,WR,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Marcus Easley,WR,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Deon Butler,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Justin Brown,WR,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Andre Caldwell,WR,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Russell Shepard,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Tavarres King,WR,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Jeff Fuller,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Anthony Armstrong,WR,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Drew Davis,WR,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Ryan Swope,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Dane Sanzenbacher,WR,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
David Reed,WR,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Devin Hester,WR,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Jerrel Jernigan,WR,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Junior Hemingway,WR,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Stephen Williams,WR,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Jarrett Boykin,WR,4,GB,$0,$0,,$0,,,,,,,,,,,,,
David Gettis,WR,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Matt Slater,WR,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Jaron Brown,WR,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Marquess Wilson,WR,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Dezmon Briscoe,WR,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Armanti Edwards,WR,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Brian Robiskie,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Ben Obomanu,WR,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Deonte Thompson,WR,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Matt Willis,WR,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Arrelious Benn,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Josh Cribbs,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Devon Wylie,WR,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Lavelle Hawkins,WR,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Brandon Tate,WR,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Kevin Dorsey,WR,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Trindon Holliday,WR,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Kris Durham,WR,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Corey Fuller,WR,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Aaron Mellette,WR,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Patrick Peterson,WR,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Tyrone Walker,WR,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Chad Hall,WR,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Chastin West,WR,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Chris Owusu,WR,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Joe Anderson,WR,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Eric Weems,WR,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Kevin Cone,WR,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Greg Salas,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Clay Harbor,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Griff Whalen,WR,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Chris Harper,WR,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Armon Binns,WR,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Josh Cooper,WR,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Saalim Hakim,WR,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Preston Parker,WR,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Seyi Ajirotutu,WR,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Chad Bumphis,WR,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Toney Clemons,WR,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Terrance Copper,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Kerry Taylor,WR,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Stephen Burton,WR,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Jordan Norwood,WR,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Chris Hogan,WR,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Kevin Elliott,WR,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Alan Bonner,WR,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Kealoha Pilares,WR,4,CAR,$0,$0,,$0,,,,,,,,,,,,,
Terrence Austin,WR,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Michael Preston,WR,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Laron Byrd,WR,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Ryan Whalen,WR,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Dorin Dickerson,WR,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Cobi Hamilton,WR,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Tobais Palmer,WR,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Danny Coale,WR,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Jamar Newsome,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Mardy Gilyard,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Kassim Osgood,WR,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Roberto Wallace,WR,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Demarco Sampson,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Kris Adams,WR,9,NYG,$0,$0,,$0,,,,,,,,,,,,,
Nick Miller,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
LaQuan Williams,WR,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Carlton Mitchell,WR,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Kashif Moore,WR,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Tori Gurley,WR,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Zach Rogers,WR,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Bryan Walters,WR,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Kamar Aiken,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jeremy Maclin,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Rico Richardson,WR,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Darius Johnson,WR,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
Brandon Kaufman,WR,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Richard Goodman,WR,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Mark Harrison,WR,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Taylor Price,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
T.J. Moe,WR,10,NE,$0,$0,,$0,,,,,,,,,,,,,
Marvin McNutt,WR,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Nick Williams,WR,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Naaman Roosevelt,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jeremy Kelley,WR,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Mike Willie,WR,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Roy Roundtree,WR,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Greg Orton,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Joe Webb,WR,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Charly Martin,WR,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Marc Mariani,WR,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Terrence Toliver,WR,8,CHI,$0,$0,,$0,,,,,,,,,,,,,
Ryan Spadola,WR,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Lamaar Thomas,WR,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Conner Vernon,WR,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Josh Bellamy,WR,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Jeff Maehl,WR,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
David Douglas,WR,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Lance Lewis,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Dan DePalma,WR,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Emory Blake,WR,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Andre Holmes,WR,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Danario Alexander,WR,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Jeremy Ebert,WR,9,JAC,$0,$0,,$0,,,,,,,,,,,,,
Andy Tanner,WR,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Micheal Spurlock,WR,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Rodney Smith,WR,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Nathan Palmer,WR,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Tim Benford,WR,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Greg Childs,WR,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Eric Page,WR,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Greg Jenkins,WR,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Jeremy Ross,WR,4,GB,$0,$0,,$0,,,,,,,,,,,,,
Dwayne Allen,TE,8,IND,$0,$0,,$0,,,,,,,,,,,,,
Robert Housler,TE,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Ed Dickson,TE,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
Scott Chandler,TE,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Brent Celek,TE,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Delanie Walker,TE,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Julius Thomas,TE,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Dallas Clark,TE,8,BAL,$0,$0,,$0,,,,,,,,,,,,,
James Casey,TE,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Kellen Winslow,TE,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Anthony Fasano,TE,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Tony Scheffler,TE,9,DET,$0,$0,,$0,,,,,,,,,,,,,
Zach Ertz,TE,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
David Ausberry,TE,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Garrett Graham,TE,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Luke Stocker,TE,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Joel Dreessen,TE,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Jeff Cumberland,TE,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Jacob Tamme,TE,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Charles Clay,TE,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Travis Kelce,TE,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Tom Crabtree,TE,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Benjamin Watson,TE,7,NO,$0,$0,,$0,,,,,,,,,,,,,
Lance Kendricks,TE,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Vance McDonald,TE,9,SF,$0,$0,,$0,,,,,,,,,,,,,
Tony Moeaki,TE,10,KC,$0,$0,,$0,,,,,,,,,,,,,
David Thomas,TE,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Jake Ballard,TE,10,NE,$0,$0,,$0,,,,,,,,,,,,,
David Paulson,TE,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Mychal Rivera,TE,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Luke Willson,TE,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Gavin Escobar,TE,11,DAL,$0,$0,,$0,,,,,,,,,,,,,
Craig Stevens,TE,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Jeff King,TE,9,ARI,$0,$0,,$0,,,,,,,,,,,,,
Ladarius Green,TE,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Dion Sims,TE,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
Logan Paulsen,TE,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
John Phillips,TE,8,SD,$0,$0,,$0,,,,,,,,,,,,,
D.J. Williams,TE,4,GB,$0,$0,,$0,,,,,,,,,,,,,
John Carlson,TE,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Lee Smith,TE,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Jordan Reed,TE,5,WAS,$0,$0,,$0,,,,,,,,,,,,,
Visanthe Shiancoe,TE,N/A,FA,$0,$0,,$0,,,,,,,,,,,,,
Taylor Thompson,TE,8,TEN,$0,$0,,$0,,,,,,,,,,,,,
Matt Spaeth,TE,5,PIT,$0,$0,,$0,,,,,,,,,,,,,
Kellen Davis,TE,10,CLE,$0,$0,,$0,,,,,,,,,,,,,
Richard Gordon,TE,7,OAK,$0,$0,,$0,,,,,,,,,,,,,
Michael Egnew,TE,6,MIA,$0,$0,,$0,,,,,,,,,,,,,
