Player,Pos,Bye,Team,Projected $,Skew,Paid,Inflated $ Value,,,,,,,,,,,,,
Miles Austin,WR,11,DAL,$10,$0,,$10,,,,,,,,,,,,,
Tavon Austin,WR,11,STL,$10,$0,,$10,,,,,,,,,,,,,
Kenny Britt,WR,8,TEN,$9,$0,,$9,,,,,,,,,,,,,
Ahmad Bradshaw,RB,8,IND,$9,$0,,$9,,,,,,,,,,,,,
Christopher Ivory,RB,10,NYJ,$9,$0,,$9,,,,,,,,,,,,,
Anquan Boldin,WR,9,SF,$9,$0,,$9,,,,,,,,,,,,,
Daryl Richardson,RB,11,STL,$9,$0,,$9,,,,,,,,,,,,,
Golden Tate,WR,12,SEA,$9,$0,,$9,,,,,,,,,,,,,
Greg Jennings,WR,5,MIN,$9,$0,,$9,,,,,,,,,,,,,
Chris Givens,WR,11,STL,$8,$0,,$8,,,,,,,,,,,,,
Giovani Bernard,RB,12,CIN,$8,$0,,$8,,,,,,,,,,,,,
Shane Vereen,RB,10,NE,$8,$0,,$8,,,,,,,,,,,,,
Jared Cook,TE,11,STL,$8,$0,,$8,,,,,,,,,,,,,
Michael Floyd,WR,9,ARI,$8,$0,,$8,,,,,,,,,,,,,
Antonio Gates,TE,8,SD,$7,$0,,$7,,,,,,,,,,,,,
Denarius Moore,WR,7,OAK,$7,$0,,$7,,,,,,,,,,,,,
Emmanuel Sanders,WR,5,PIT,$7,$0,,$7,,,,,,,,,,,,,
Eli Manning,QB,9,NYG,$7,$0,,$7,,,,,,,,,,,,,
DeAngelo Williams,RB,4,CAR,$6,$0,,$6,,,,,,,,,,,,,
Sidney Rice,WR,12,SEA,$6,$0,,$6,,,,,,,,,,,,,
Alshon Jeffery,WR,8,CHI,$6,$0,,$6,,,,,,,,,,,,,
Justin Blackmon,WR,9,JAC,$6,$0,,$6,,,,,,,,,,,,,
Vincent Brown,WR,8,SD,$6,$0,,$6,,,,,,,,,,,,,
Rueben Randle,WR,9,NYG,$6,$0,,$6,,,,,,,,,,,,,
Ryan Broyles,WR,9,DET,$5,$0,,$5,,,,,,,,,,,,,
Kenbrell Thompkins,WR,10,NE,$5,$0,,$5,,,,,,,,,,,,,
Kyle Rudolph,TE,5,MIN,$5,$0,,$5,,,,,,,,,,,,,
DeAndre Hopkins,WR,8,HOU,$5,$0,,$5,,,,,,,,,,,,,
BenJarvus Green-Ellis,RB,12,CIN,$5,$0,,$5,,,,,,,,,,,,,
Mark Ingram,RB,7,NO,$5,$0,,$5,,,,,,,,,,,,,
Kendall Wright,WR,8,TEN,$5,$0,,$5,,,,,,,,,,,,,
Brian Hartline,WR,6,MIA,$5,$0,,$5,,,,,,,,,,,,,
Jordan Cameron,TE,10,CLE,$4,$0,,$4,,,,,,,,,,,,,
Brandon LaFell,WR,4,CAR,$4,$0,,$4,,,,,,,,,,,,,
Owen Daniels,TE,8,HOU,$4,$0,,$4,,,,,,,,,,,,,
Greg Little,WR,10,CLE,$4,$0,,$4,,,,,,,,,,,,,
Brandon Myers,TE,9,NYG,$4,$0,,$4,,,,,,,,,,,,,
Andy Dalton,QB,12,CIN,$4,$0,,$4,,,,,,,,,,,,,
Martellus Bennett,TE,8,CHI,$4,$0,,$4,,,,,,,,,,,,,
Josh Freeman,QB,5,TB,$3,$0,,$3,,,,,,,,,,,,,
Brandon Pettigrew,TE,9,DET,$3,$0,,$3,,,,,,,,,,,,,
Malcom Floyd,WR,8,SD,$3,$0,,$3,,,,,,,,,,,,,
Andre Brown,RB,9,NYG,$3,$0,,$3,,,,,,,,,,,,,
Rod Streater,WR,7,OAK,$3,$0,,$3,,,,,,,,,,,,,
Fred Davis,TE,5,WAS,$3,$0,,$3,,,,,,,,,,,,,
Darrius Heyward-Bey,WR,8,IND,$2,$0,,$2,,,,,,,,,,,,,
Michael Vick,QB,12,PHI,$2,$0,,$2,,,,,,,,,,,,,
Andre Roberts,WR,9,ARI,$2,$0,,$2,,,,,,,,,,,,,
Ben Tate,RB,8,HOU,$2,$0,,$2,,,,,,,,,,,,,
Mohamed Sanu,WR,12,CIN,$2,$0,,$2,,,,,,,,,,,,,
Carson Palmer,QB,9,ARI,$2,$0,,$2,,,,,,,,,,,,,
Danny Woodhead,RB,8,SD,$1,$0,,$1,,,,,,,,,,,,,
Jacoby Jones,WR,8,BAL,$1,$0,,$1,,,,,,,,,,,,,
Ben Roethlisberger,QB,5,PIT,$1,$0,,$1,,,,,,,,,,,,,
Pierre Thomas,RB,7,NO,$1,$0,,$1,,,,,,,,,,,,,
Vick Ballard,RB,8,IND,$1,$0,,$1,,,,,,,,,,,,,
Jay Cutler,QB,8,CHI,$1,$0,,$1,,,,,,,,,,,,,
Tyler Eifert,TE,12,CIN,$1,$0,,$1,,,,,,,,,,,,,
Coby Fleener,TE,8,IND,$1,$0,,$1,,,,,,,,,,,,,
Nate Burleson,WR,9,DET,$1,$0,,$1,,,,,,,,,,,,,
Marcedes Lewis,TE,9,JAC,$1,$0,,$1,,,,,,,,,,,,,
Bernard Pierce,RB,8,BAL,$1,$0,,$1,,,,,,,,,,,,,
Willis McGahee,RB,N/A,FA,$1,$0,,$1,,,,,,,,,,,,,
Robert Woods,WR,12,BUF,$1,$0,,$1,,,,,,,,,,,,,
Jonathan Stewart,RB,4,CAR,$1,$0,,$1,,,,,,,,,,,,,
Zach Sudfeld,TE,10,NE,$1,$0,,$1,,,,,,,,,,,,,
Matt Schaub,QB,8,HOU,$0,$0,,$0,,,,,,,,,,,,,
Sam Bradford,QB,11,STL,$0,$0,,$0,,,,,,,,,,,,,
Jermaine Gresham,TE,12,CIN,$0,$0,,$0,,,,,,,,,,,,,
Cordarrelle Patterson,WR,5,MIN,$0,$0,,$0,,,,,,,,,,,,,
Philip Rivers,QB,8,SD,$0,$0,,$0,,,,,,,,,,,,,
Bryce Brown,RB,12,PHI,$0,$0,,$0,,,,,,,,,,,,,
Fred Jackson,RB,12,BUF,$0,$0,,$0,,,,,,,,,,,,,
Jeremy Kerley,WR,10,NYJ,$0,$0,,$0,,,,,,,,,,,,,
Zach Miller,TE,12,SEA,$0,$0,,$0,,,,,,,,,,,,,
Zach Miller,TE,5,TB,$0,$0,,$0,,,,,,,,,,,,,
Donnie Avery,WR,10,KC,$0,$0,,$0,,,,,,,,,,,,,
Ronnie Hillman,RB,9,DEN,$0,$0,,$0,,,,,,,,,,,,,
Jacquizz Rodgers,RB,6,ATL,$0,$0,,$0,,,,,,,,,,,,,
